"from","to","weight"
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Gabet (la mère). Vieille journalière de Beaumont : ",6
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Hautecœur (Félicien VII de). Fils du précédent et de Paule de Valençay. Épouse Angélique Rougon : ",8
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Hubert. Époux d'Hubertine. A recueilli Angélique Rougon. Brodeur à Beau-mont : ",4
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Hubertine. Femme d'Hubert : ",6
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Mascart (le père). Aveugle paralytique de Beaumont : ",8
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Rougon (Angélique). Fille de Sidonie Rougon et de père inconnu. Adoptée par les Hubert. Épouse Félicien de Hautecœur : ",8
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Lemballeuse (les). Pauvresses de Beaumont : la mère et les filles, Tiennette, Rose, Jeanne : ",7
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Hautecœur (Monseigneur de). Jean XII de Hautecœur. A été l'époux de Paule de Valençay. Père de Félicien VII de Hautecœur. Évêque de Beaumont. — : ",2
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Voincourt (Claire de). Fille de la comtesse de Voincourt. Devait épouser Félicien VII de Hautecœur : ",3
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Voincourt (comtesse de). Aristocrate de Beaumont : ",2
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Cornille (abbé). Prêtre de la cathédrale de Beaumont : ",2
"Chouteau (les). Vieillards nécessiteux de Beaumont : ","Grandsire. Cousin d'Hu-bertine. Juge de paix à Beaumont : ",2
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Gabet (la mère). Vieille journalière de Beaumont : ",2
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Grandsire. Cousin d'Hu-bertine. Juge de paix à Beaumont : ",2
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Hautecœur (Monseigneur de). Jean XII de Hautecœur. A été l'époux de Paule de Valençay. Père de Félicien VII de Hautecœur. Évêque de Beaumont. — : ",32
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Hautecœur (Félicien VII de). Fils du précédent et de Paule de Valençay. Épouse Angélique Rougon : ",33
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Hubert. Époux d'Hubertine. A recueilli Angélique Rougon. Brodeur à Beau-mont : ",31
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Hubertine. Femme d'Hubert : ",37
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Lemballeuse (les). Pauvresses de Beaumont : la mère et les filles, Tiennette, Rose, Jeanne : ",3
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Mascart (le père). Aveugle paralytique de Beaumont : ",2
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Rougon (Angélique). Fille de Sidonie Rougon et de père inconnu. Adoptée par les Hubert. Épouse Félicien de Hautecœur : ",38
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Hautecœur (la lignée des). Ancêtres de Jean XII de Hautecœur : ",8
"Cornille (abbé). Prêtre de la cathédrale de Beaumont : ","Valençay (Paule de). Épouse de Jean XII de Hau-tecœur. Mère de Félicien, morte en couches : ",8
